iter	Passed	Remaining
720	8956	3465
721	8969	3453
722	8984	3442
723	8996	3429
724	9009	3417
725	9019	3404
726	9033	3392
727	9045	3379
728	9057	3367
729	9068	3354
730	9081	3341
731	9095	3330
732	9107	3317
733	9120	3305
734	9131	3292
735	9142	3279
736	9154	3266
737	9168	3255
738	9183	3243
739	9195	3230
740	9207	3218
741	9219	3205
742	9230	3192
743	9242	3180
744	9254	3167
745	9266	3155
746	9280	3143
747	9295	3131
748	9307	3119
749	9318	3106
750	9328	3092
751	9338	3079
752	9351	3067
753	9362	3054
754	9372	3041
755	9384	3028
756	9396	3016
757	9408	3003
758	9420	2991
759	9436	2979
760	9449	2967
761	9461	2955
762	9472	2942
763	9483	2929
764	9495	2916
765	9507	2904
766	9519	2891
767	9531	2879
768	9543	2866
769	9554	2854
770	9568	2841
771	9580	2829
772	9594	2817
773	9606	2804
774	9616	2791
775	9627	2779
776	9639	2766
777	9651	2754
778	9661	2741
779	9673	2728
780	9685	2716
781	9696	2703
782	9709	2690
783	9723	2679
784	9736	2666
785	9748	2654
786	9761	2641
787	9772	2629
788	9785	2617
789	9797	2604
790	9808	2591
791	9820	2579
792	9833	2566
793	9845	2554
794	9856	2541
795	9867	2528
796	9879	2516
797	9890	2503
798	9902	2491
799	9913	2478
800	9925	2465
801	9937	2453
802	9948	2440
803	9959	2427
804	9970	2415
805	9982	2402
806	9992	2389
807	10005	2377
808	10017	2364
809	10030	2352
810	10042	2340
811	10054	2327
812	10065	2315
813	10076	2302
814	10088	2290
815	10099	2277
816	10111	2264
817	10122	2252
818	10133	2239
819	10143	2226
820	10157	2214
821	10170	2202
822	10181	2189
823	10192	2176
824	10203	2164
825	10213	2151
826	10226	2139
827	10238	2126
828	10249	2114
829	10262	2102
830	10272	2089
831	10284	2076
832	10295	2064
833	10308	2051
834	10319	2039
835	10330	2026
836	10342	2014
837	10353	2001
838	10364	1988
839	10379	1977
840	10389	1964
841	10403	1952
842	10414	1939
843	10426	1927
844	10441	1915
845	10453	1902
846	10465	1890
847	10476	1877
848	10488	1865
849	10499	1852
850	10515	1841
851	10527	1828
852	10538	1816
853	10550	1803
854	10562	1791
855	10575	1779
856	10588	1766
857	10600	1754
858	10610	1741
859	10625	1729
860	10637	1717
861	10650	1705
862	10662	1692
863	10675	1680
864	10685	1667
865	10697	1655
866	10710	1643
867	10723	1630
868	10733	1618
869	10744	1605
870	10757	1593
871	10768	1580
872	10781	1568
873	10793	1555
874	10805	1543
875	10816	1531
876	10827	1518
877	10840	1506
878	10851	1493
879	10864	1481
880	10875	1469
881	10886	1456
882	10900	1444
883	10913	1432
884	10927	1419
885	10939	1407
886	10951	1395
887	10963	1382
888	10974	1370
889	10985	1357
890	10999	1345
891	11011	1333
892	11022	1320
893	11033	1308
894	11048	1296
895	11060	1283
896	11072	1271
897	11083	1258
898	11095	1246
899	11106	1234
900	11117	1221
901	11128	1209
902	11140	1196
903	11153	1184
904	11164	1171
905	11177	1159
906	11189	1147
907	11200	1134
908	11212	1122
909	11224	1110
910	11238	1097
911	11251	1085
912	11263	1073
913	11274	1060
914	11286	1048
915	11297	1036
916	11311	1023
917	11324	1011
918	11337	999
919	11349	986
920	11361	974
921	11373	962
922	11385	949
923	11397	937
924	11409	925
925	11420	912
926	11433	900
927	11445	888
928	11461	875
929	11474	863
930	11487	851
931	11500	839
932	11514	826
933	11528	814
934	11540	802
935	11555	790
936	11569	777
937	11582	765
938	11594	753
939	11606	740
940	11619	728
941	11630	716
942	11643	703
943	11656	691
944	11667	679
945	11678	666
946	11689	654
947	11700	641
948	11713	629
949	11726	617
950	11740	604
951	11751	592
952	11761	580
953	11773	567
954	11786	555
955	11797	542
956	11810	530
957	11824	518
958	11839	506
959	11850	493
960	11860	481
961	11872	468
962	11883	456
963	11896	444
964	11908	431
965	11920	419
966	11932	407
967	11942	394
968	11955	382
969	11967	370
970	11977	357
971	11987	345
972	11998	332
973	12012	320
974	12023	308
975	12036	295
976	12047	283
977	12057	271
978	12071	258
979	12083	246
980	12095	234
981	12108	221
982	12121	209
983	12133	197
984	12144	184
985	12157	172
986	12169	160
987	12184	147
988	12197	135
989	12208	123
990	12222	111
991	12235	98
992	12248	86
993	12263	74
994	12273	61
995	12285	49
996	12298	37
997	12308	24
998	12319	12
999	12331	0
